Date,Host,Service,Content
"2026-06-19T01:08:02.253Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:08:01] Msgs=808918183 Throughput=317.008618 Response_Time=17.660596 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=14 Current_Connections=2392 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:08:01.787Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:08:01] Msgs=812327908 Throughput=318.490645 Response_Time=17.588130 Wait_Time_In_Queue=0.005619 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=20 Current_Connections=2387 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:08:01.611Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:08:01] Msgs=791151933 Throughput=310.110091 Response_Time=17.494655 Wait_Time_In_Queue=0.005967 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=19 Current_Connections=2468 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:07:02.752Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:07:02] Msgs=812260639 Throughput=318.471638 Response_Time=17.588078 Wait_Time_In_Queue=0.005619 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=21 Current_Connections=2331 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:07:02.573Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:07:01] Msgs=791086268 Throughput=310.091645 Response_Time=17.494561 Wait_Time_In_Queue=0.005967 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=22 Current_Connections=2442 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:07:02.213Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:07:01] Msgs=808847588 Throughput=316.988406 Response_Time=17.660485 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=32 Current_Connections=2336 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:07:01.987Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:07:01] Msgs=777115673 Throughput=304.653516 Response_Time=17.164272 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=22 Current_Connections=2297 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:06:02.945Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:06:01] Msgs=777054025 Throughput=304.636514 Response_Time=17.164215 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=19 Current_Connections=2237 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:06:02.713Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:06:02] Msgs=812192616 Throughput=318.452459 Response_Time=17.588026 Wait_Time_In_Queue=0.005619 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=22 Current_Connections=2291 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:06:02.530Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:06:01] Msgs=791019826 Throughput=310.072893 Response_Time=17.494452 Wait_Time_In_Queue=0.005967 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=20 Current_Connections=2404 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
